Date,ID,Species,FL_cm,Total_weight_kg,Total_weight_g,Sex,Gonad_weight_g,GSI,Sample
12/27/2021,12_12_BE,Big Eye,121,38,38000,,,,Yes
1/19/2022,1_1_BE,Big Eye,104,23.5,23500,Male,267.2,1.137021277,Yes
1/19/2022,1_2_BE,Big Eye,136,49.6,49600,Male,255.5,0.515120968,Yes
1/19/2022,1_3_BE,Big Eye,115,36.6,36600,Male,277.6,0.758469945,Yes
1/19/2022,1_4_YF,Yellowfin Tuna,123,33.5,33500,Female,179.2,0.534925373,Yes
1/19/2022,1_5_BE,Big Eye,105,24.7,24700,Female,154.1,0.62388664,Yes
1/19/2022,1_6_YF,Yellowfin Tuna,132,42.4,42400,Male,190.1,0.448349057,Yes
2/14/2022,2_1_BE,Big Eye,107,26.3,26300,Female,171.9,0.653612167,Duplicate
2/14/2022,2_2_BE,Big Eye,105,23.5,23500,Female,150.1,0.638723404,Duplicate
2/14/2022,2_3_YF,Yellowfin Tuna,103,18.5,18500,Female,71.4,0.385945946,Yes
2/14/2022,2_4_BE,Big Eye,132,44.8,44800,Male,343.6,0.766964286,Yes
2/14/2022,2_5_YF,Yellowfin Tuna,105,19,19000,Female,74.3,0.391052632,Yes
3/2/2022,3_1_BE,Big Eye,118,33.1,33100,Male,140.2,0.423564955,Yes
3/2/2022,3_2_YF,Yellowfin Tuna,131,38.5,38500,Male,696.3,1.808571429,Yes
3/2/2022,3_3_BE,Big Eye,124,40.1,40100,Male,360.2,0.898254364,Yes
3/2/2022,3_4_BE,Big Eye,158,64.8,64800,Male,217.6,0.335802469,Yes
3/2/2022,3_5_YF,Yellowfin Tuna,130,38.2,38200,Male,647,1.693717277,Yes
